Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-07,City of London Police,City of London Police,-0.107637,51.517831,On or near Holborn Viaduct,E01000917,Camden 027C,Other crime,,
,2011-07,City of London Police,City of London Police,-0.112942,51.517107,On or near Chancery Lane,E01000914,Camden 028B,Burglary,,
,2011-07,City of London Police,City of London Police,-0.112226,51.519074,On or near South Square,E01000914,Camden 028B,Other crime,,
,2011-07,City of London Police,City of London Police,0.623472,51.517828,On or near Beveland Road,E01021491,Castle Point 012C,Burglary,,
,2011-07,City of London Police,City of London Police,0.623472,51.517828,On or near Beveland Road,E01021491,Castle Point 012C,Burglary,,
,2011-07,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other crime,,
,2011-07,City of London Police,City of London Police,-0.097170,51.519280,On or near Aldersgate Street,E01000001,City of London 001A,Other crime,,
,2011-07,City of London Police,City of London Police,-0.097170,51.519280,On or near Aldersgate Street,E01000001,City of London 001A,Other crime,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.094115,51.516497,On or near Wood Street,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Burglary,,
,2011-07,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Robbery,,
,2011-07,City of London Police,City of London Police,-0.092093,51.516922,On or near Basinghall Street,E01000002,City of London 001B,Vehicle crime,,
,2011-07,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Violent crime,,
,2011-07,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Violent crime,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other crime,,
,2011-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Other crime,,
,2011-07,City of London Police,City of London Police,-0.092456,51.517558,On or near London Wall,E01000002,City of London 001B,Other crime,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other crime,,
,2011-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other crime,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Burglary,,
,2011-07,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Robbery,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Violent crime,,
,2011-07,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Other crime,,
,2011-07,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Other crime,,
,2011-07,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Other crime,,
,2011-07,City of London Police,City of London Police,-0.095757,51.521011,On or near Bridgewater Square,E01000003,City of London 001C,Other crime,,
,2011-07,City of London Police,City of London Police,-0.074210,51.511711,On or near Portsoken Street,E01000005,City of London 001E,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.076044,51.512650,On or near India Street,E01000005,City of London 001E,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.076095,51.512462,On or near Vine Street,E01000005,City of London 001E,Burglary,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Robbery,,
,2011-07,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Violent crime,,
,2011-07,City of London Police,City of London Police,-0.078250,51.515033,On or near Houndsditch,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.076044,51.512650,On or near India Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.076080,51.511445,On or near America Square,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.074210,51.511711,On or near Portsoken Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.076080,51.511445,On or near America Square,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075196,51.512609,On or near St. Clare Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.078250,51.515033,On or near Houndsditch,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.076044,51.512650,On or near India Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075196,51.512609,On or near St. Clare Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075613,51.514684,On or near St. Botolph Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.076044,51.512650,On or near India Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.076044,51.512650,On or near India Street,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Other crime,,
,2011-07,City of London Police,City of London Police,-0.078488,51.517923,On or near Middlesex Street,E01032739,City of London 001F,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.078488,51.517923,On or near Middlesex Street,E01032739,City of London 001F,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.078488,51.517923,On or near Middlesex Street,E01032739,City of London 001F,Anti-social behaviour,,
,2011-07,City of London Police,City of London Police,-0.078488,51.517923,On or near Middlesex Street,E01032739,City of London 001F,Anti-social behaviour,,
